url,registrable,text
https://newindia.co.in/,newindia.co.in,"https://newindia.co.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: newindia.co.in
URL: https://newindia.co.in/
Registrable Domain: newindia.co.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 23 chars, Entropy: 3.73
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📄 Page Content:
      External Links: 126

   🚩 Phishing Keywords Detected: account, login

   ⚠️ JavaScript Behavior:

📊 Metadata:
   First Seen: 2025-10-14T14:49:11.289916+00:00
   Processing Stage: rul"
https://nationalinsurance.nic.co.in/,nic.co.in,"https://nationalinsurance.nic.co.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: nationalinsurance.nic.co.in
URL: https://nationalinsurance.nic.co.in/
Registrable Domain: nic.co.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 36 chars, Entropy: 3.75
      Subdomains: 2, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 108

   ⚠️ JavaScript Behavior:
      🚨 Ob"
,nhai.gov.in," Domain: nhai.gov.in
Registrable Domain: nhai.gov.in

📡 DNS Records:
   A (IPv4): 164.100.166.116
   MX (Mail): mailgw.nic.in
   NS (Nameservers): ns1.nic.in, ns7.nic.in, ns10.nic.in, ns2.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 3214 days
   Days Until Expiry: 72

🌍 Network & Location:
   ASN: 4758
   Country: IN

📊 Metadata:
   First Seen: 1760452971.2812533
   Processing Stage: resolved"
,nic.in," Domain: nic.in
Registrable Domain: nic.in

📡 DNS Records:
   MX (Mail): mx.mgovcloud.in, mx2.mgovcloud.in, mx3.mgovcloud.in
   NS (Nameservers): ns6.nic.in, ns8.nic.in, nicnet.nic.in, ns4.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7599 days
   Days Until Expiry: 70

📊 Metadata:
   First Seen: 1760452971.5044062
   Processing Stage: resolved"
https://mizoram.gov.in/,mizoram.gov.in,"https://mizoram.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: mizoram.gov.in
URL: https://mizoram.gov.in/
Registrable Domain: mizoram.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 23 chars, Entropy: 3.88
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📄 Page Content:
      External Links: 1

   🚩 Phishing Keywords Detected: login

   ⚠️ JavaScript Behavior:

📊 Metadata:
   First Seen: 2025-10-14T14:50:27.749033+00:00
   Processing Stage: rules:benign"
,neft.rbi.org.in," Domain: neft.rbi.org.in
Registrable Domain: neft.rbi.org.in

📡 DNS Records:

📋 WHOIS Information:
   Registrar: Sify Digital Services Limited
   Domain Age: 8264 days
   Days Until Expiry: 136

📊 Metadata:
   First Seen: 1760452972.4468443
   Processing Stage: resolved"
,nciipc.gov.in," Domain: nciipc.gov.in
Registrable Domain: nciipc.gov.in

📡 DNS Records:
   A (IPv4): 164.100.59.137
   MX (Mail): mailgw.nic.in
   NS (Nameservers): ns1.nkn.in, ns3.nkn.in, ns6.nkn.in, ns2.nkn.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 5632 days
   Days Until Expiry: 211

🌍 Network & Location:
   ASN: 4758
   Country: IN, Delhi

📊 Metadata:
   First Seen: 1760452973.7280772
   Processing Stage: resolved"
https://nalcoindia.com/,nalcoindia.com,"https://nalcoindia.com/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: nalcoindia.com
URL: https://nalcoindia.com/
Registrable Domain: nalcoindia.com

🔍 Page Features & Analysis:

   URL Structure:
      Length: 23 chars, Entropy: 3.80
      Subdomains: 0, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 2
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 189

   🚩 Phishing Keywords Detected: account, login

   ⚠️ JavaScript Behav"
https://nitc.ac.in/,nitc.ac.in,"https://nitc.ac.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: nitc.ac.in
URL: https://nitc.ac.in/
Registrable Domain: nitc.ac.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 19 chars, Entropy: 3.33
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 4
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 55

   🚩 Phishing Keywords Detected: login, secure

   ⚠️ JavaScript Behavior:

📊 Metadata:
"
,nsdl.co.in," Domain: nsdl.co.in
Registrable Domain: nsdl.co.in

📡 DNS Records:
   A (IPv4): 121.240.225.117
   MX (Mail): pluto.netcore.co.in, venus.netcore.co.in, cluster8.netcore.co.in, nsdl-co-in.mail.protection.outlook.com, cluster6.netcore.co.in
   NS (Nameservers): ns1.netcore.co.in, ns2.netcore.co.in

📋 WHOIS Information:
   Registrar: Endurance Digital Domain Technology Private Limited
   Domain Age: 8264 days
   Days Until Expiry: 1597

🌍 Network & Location:
   ASN: 4755
   Country: IN

📊 Metadata:
   First Se"
